Random Complaint,Tone Severity,Case Severity
"We switched our Home Mortgage Insurance provider from Homeowners of XXXX to XXXX back in XXXX. The Homeowners of XXXX issued us a check for {$3500.00} which I cashed and on XX/XX/23 put via local Wells Fargo branch to our escrow account as additional escrow ( we have a receipt ). Then I checked and could find the above amount on my account, so I wrote a letter to Wells Fargo Home Mortgage with my concern. In their response they confirmed that the additional escrow amount was received in XXXX, went to unapplied funds first but on XX/XX/XXXX was credited to our escrow account. However, in XXXX we received the XXXX Account XXXX dated XX/XX/23 with notification our escrow account has a shortage of pretty much the same amount, and we need to pay it as additional escrow ( again?! ) or they will split it over or monthly mortgage payments. I called their Customer Service immediately to talk to their loan officers, but they were unable to clarify anything just saying like "" we can not understand what happened to the amount we received ''. We suspect our fund mismanagement if not fraud and it is very hard to deal with Wells Fargo nowadays- they put all services on the phone, it is hard to get a paper trail, every time new person responds ( same with letters ).",2,3
"Dear Sir/Madam, I hope this letter finds you well. I am writing to formally dispute a late payment entry on my credit report, specifically pertaining to my credit card account with the details mentioned below : Account Name : BANK OF AMERICA Account Number : XXXX Account Type : Credit card Responsibility : Individual Date Opened : XX/XX/XXXX Status : Paid, Closed Status Updated : XX/XX/XXXX Balance : N/A Balance Updated : N/A Recent Payment : N/A Monthly Payment : N/A Credit Limit : {$6500.00} Highest Balance : {$7000.00} Terms : N/A Payment History : XXXX : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  Current / Terms met : 30 Past due 30 days : XXXX Payment history guide : 30 days past due as of XX/XX/XXXX Balance Histories : XX/XX/XXXX : {$33.00} Scheduled Payment : {$33.00} Paid : {$0.00} on XX/XX/XXXX Additional info : As of XX/XX/XXXX, your credit limit/high balance was {$6500.00} Contact Info : Address : XXXX XXXX XXXX, XXXX XXXX TX XXXX Phone Number : ( XXXX ) XXXX I wish to bring your attention to a 30-day past due notation from XX/XX/XXXX, which I believe has been inaccurately reported on my credit profile. I want to emphasize that I have made full payment towards this credit card account, and I possess the necessary evidence to support this fact. 

According to the provisions outlined in 15 U.S. Code 1637 - Open end consumer credit plans ( C ) Payments at local branches. 
If the creditor, in the case of a credit card account referred to in subparagraph ( A ), is a financial institution which maintains branches or offices at which payments on any such account are accepted from the obligor in person, the date on which the obligor makes a payment on the account at such branch or office shall be considered to be the date on which the payment is made for purposes of determining whether a late fee or charge may be imposed due to the failure of the obligor to make payment on or before the due date for such payment.

To substantiate my claim of full payment, I am prepared to provide documented proof, which includes a copy of the payment made at the Bank of America branch, as well as any other necessary documentation that demonstrates the complete repayment of my debt. Additionally, I possess video evidence of the transaction that took place at the bank branch.",2,2
"On XX/XX/2023, I submitted a payment of {$640.00} from a checking account ending in [ ask if needed ] which had XXXX XXXXXXXX on it to Citi Bank to pay my balance and keep my account funded. After a few days, I recognized a Return Check Fee. Confused to why that would be I would call Citi Bank for the first time on XX/XX/XXXX inquiring about the fee and why. The person on the phone did not explain the fee after I constantly asked why and I asked to get it waived which they agreed to do, I just had to wait until my statement posted on XX/XX/XXXX. Waiting until XX/XX/XXXX I would call Citi again as I noticed that another returned check fee appeared again. This agent wasnt informed on what it was either and once again said that when my statement is posted, they will reverse it and my account will be reflected to show the proper balance. So I wait until the next day where I receive an email saying a Replacement Payment is required. So I call Citi to ask about that as well as with an agent on the phone saying my account is fine all I have to do is make a payment. I used my account Ive been using with Citi to make payments to make a payment of {$680.00} which XXXX XXXX confirmed on a call I had with them minutes prior that they see the payment and it will be released, everything is all set. Hours later, I check my Citi account is closed with no notification after being strung along for a week and lied to before the account was randomly closed after taking a {$680.00} payment from me verbally after going through their verification process on each call. 

I reached out to Citi Executive Response Unit to explain the situation and they made a case to investigate it under the case number [ ask if needed ]",2,2
"I had a claim in my favor n the letter said I was to get the credit of XXXX XXXX never credited the account. They told me I had received the credit on the past. 
Which was I had a credit of XXXX but shortly after they debited out of the account $ XXXX, the amount of the claim that was just resolved. So they owe me the credits. The customer service representative even said she sees what I saying they did give me the credit bit then took XXXX back so that would mean they would have to credit the XXXX back. Nothing has been credited after se real escalations",2,2
"On XX/XX/2023, I deposited {$4000.00} cash ( XXXX dollar bills ) into the ATM at Bank of America in XXXX, Fl on XXXX XXXX. When the transaction was complete, it showed a total deposit amount of {$2000.00}. I called the customer service number immediately and started a claim while parked at the ATM. The claim was started 1 min after the failed transaction. The lady told me it would take 10 business days to get the dispute taken care of. After 10 days I called to check the status of the claim. The customer service agent said there wasnt any changes to the claim yet but to wait to get a response on the XXXX of XXXX. I called today and the customer service agent said the case was closed and they didnt find any extra cash in the ATM, therefore denying me the missing {$2000.00}. I asked for details they found on the camera and she was not able to verify what the verification process was. She stated that sometimes they cant tell by looking at the camera. They also claimed they didnt find any extra cash while auditing. She did open a new claim to see if Bank of America will reconsider the case. No financial relief was offered and no detailed reason as to why the cash was not accounted for. This is not the first time this has happened with this bank/ location. Last time it was resolved within a weeks time but declining it this time is unacceptable.",2,2
"I have a wells Fargo business and personal checking account. I called at XXXX XXXX central time and was talking to a female. I wanted to know if i deposit a foreign currency check into my Wells Fargo then what will happen? how the currency conversion happens? How much time it will take for money to come to my account? How to do that? 

This female was not at all in a mood to do the work? 
When she was wasting my time and i tried to have a focussed discussion she threatened me to hang the call. I simply asked her the question in a different manner. But still this female pretended that she is not able to hear me- we were on the phone call for almost XXXX minutes ( some wait time and going thru the menu initially ). Then she hang up the phone on me.",2,2
"I noticed and reported fraud on my Bank of America credit card on XX/XX/2023 while the transactions were still in a pending status. 

There was two charges ( one for {$930.00} and another for {$790.00} ) from Spirit airlines that were not authorized by me. I have never done any business with this airline. 

Bank of America investigated my claim and provided a partial reversal of the fraudulent charges, {$930.00} was reversed and the rest was not. 
They also provided partial documentation from Spirit airlines advising me that I received services and am responsible for the {$790.00} charge. 

I contacted Spirit airlines and they would not investigate this matter since Bank of America had to initiate this process. They were able to send me some documentation of how the airline ticket was purchased along with an email and phone number that did not belong to me. 

On XX/XX/XXXX, I attempted to appeal Bank of Americas decision and was advised I had to start a new claim/dispute as the initial claim was closed. 

On XX/XX/XXXX, I requested an email or mailing address to submit a formal written complaint and their representative XXXX from Arkansas advised they do not have one and I can only proceed to file a complaint with her over the phone. 

I do not understand how one charge was considered fraudulent and the other valid since the same person/contact info processed both transactions. 
Bank of America did not thoroughly investigate these fraudulent charges and my credit score has been negatively impacted due to carrying a balance of this credit card.",3,3
"I am filing this formal complaint against Wells Fargo for the unjust denial of my debit card dispute claims, which were submitted on XX/XX/2023, and XX/XX/2023. The transactions in question involve amounts of {$520.00} and {$19.00}, both dated XX/XX/2023. 

Despite providing substantial evidence, including a police report filed with the XXXX XXXX XXXX Sheriff Department on XX/XX/2023, and security camera footage verifying the fraudulent transactions, Wells Fargo dismissed my claims without any credible justification. 

This denial is not only unacceptable but also in violation of my rights under the Electronic Fund Transfer Act ( EFTA ) and Regulation E, which mandate that I am entitled to a detailed written explanation for the denial of my dispute claims. Wells Fargo 's failure to provide this explanation is a direct infringement of these regulations. 

I demand immediate action to rectify this situation, including a thorough investigation into Wells Fargo 's dispute resolution process. Failure to address this complaint will leave me with no option but to seek further legal recourse. 

I expect prompt attention to this urgent matter.",3,2
"Hello, I am writing to bring up a case of negligence in handling a wire fraud incident that I fell victim to. I believe that inadequate procedures and actions have led to the loss of a significant amount of my funds and have caused considerable distress to my family and me. 

On XX/XX/2023, I was targeted by fraudsters who impersonated our title company and deceived me into wiring {$87000.00} from my Wells Fargo checking account to a fraudulent account at XXXX. The fraudulent nature of the transaction came to light the following day, prompting me to report the incident to Wells Fargo immediately. I also took further action by filing a complaint on ic3.gov. 

Following the incident, both Wells Fargo and XXXX were engaged in the investigative process. XXXXXXXX XXXX  Wire Fraud Department not only verified the presence of the precise amount within the fraudulent account but also ascertained that the said account had been promptly frozen on XX/XX/XXXX. On XX/XX/XXXX, a representative from XXXX 's XXXX branch confirmed the frozen status of the account to me and conveyed that it was slated for closure within 30 days, assuring me that the funds would be returned to me within this timeframe. Despite these confirmations and assurances, the subsequent course of actions have been markedly disappointing. 

Regrettably, I must inform you that Wells Fargo has taken a concerning stance. They are currently refusing to provide me with assistance by sharing the findings of their investigation, despite my exercise of the right to documentation. The information contained within this document, coupled with the statement from the Wells Fargo banker regarding his communication on the frozen status of the account, holds critical significance for my pursuit of repayment from XXXX. 

Despite my proactive efforts and cooperation, the situation has escalated into a complex ordeal, where not only the mishandling of the wire recall process by XXXX has resulted in severe financial and emotional consequences, but also Wells Fargo 's reluctance to provide necessary information further exacerbates the distressing circumstances. 

I am seeking your intervention in this matter to address the negligence displayed by both Wells Fargo and XXXX. The disregard for proper procedures and the mishandling of the wire recall process have resulted in the loss of our hard-earned savings and an overwhelming sense of injustice. 

I kindly request that your office investigate this incident thoroughly and bring the unjust bank practices to light. Additionally, I am seeking guidance on potential avenues for recovering the wrongfully released funds, including any assistance your office may be able to provide in cooperation with relevant authorities. 

Thanks, XXXX XXXX ( P.S. I am happy to provide any necessary documents that I have regarding communications that I had with XXXX and Wells Fargo to assist in this investigation )",3,3
"My bank account was hacked and my debit card was used for numerous transactions without my knowledge, I was also overcharged by merchants I had done business with in the past, I informed the bank of the stolen debit card and phone and asked for account to be locked down until I could review my account and figure out why I was being charged. They then allowed my account to be overdrawn by nearly XXXX dollars after the conversation. They further went on to deny my claims without doing a thorough and legitimate investigation. The balance on this account was nearly XXXX dollars less than a year ago. Im now negative XXXX dollars in this account and i would like to receive all illegitimate transactions back to me immediately. My life savings has been stolen and I truly believe Bank of America has allowed this to happen.",3,3
"I applied for a credit card with Wells Fargo on XX/XX/23 and got denied. Regardless of the reason for being denied, I, the natural person, have a right to credit. I am the cardholder and holder in due course. Pursuant to 15 USC 1602, I'm the one that came in with the credit card to initiate a transaction. It is not possible to get denied with something I came in with. An inquiry is a receipt of a transaction which means that somebody got paid but I did not receive any benefit in this transaction. I have been discriminated against under the Equal Credit Opportunity Act by which it states that it is unlawful for any creditor to discriminate against any applicant with respect to ANY aspect of a credit transaction. I have the right to open end credit plans in which I granted to Wells Fargo the right to extend credit. I've in good faith exercised my right and would appreciate Wells Fargo to approve my request expeditiously.",3,1
"I opened a new account with XXXX on XX/XX/XXXX. I deposited my two paychecks from the State of Idaho totaling {$2700.00} into the account and I still havent received my money. The deposit was put on hold, then I drove 6 hours round trip to a branch and they couldnt help me. Whats followed is multiple phone calls and getting a different answer every time I call. Ive been told Id have my money the next day, Ive been told the checks had to be verified, but the bank refused to call the number I gave them for the state controller. It took over a week to finally get someone to call the controller and verify the checks and then I was told Id have the money in my account. Then I was told that no the account was closed, then I was told it wasnt closed and Id have my money the next day again, then it was that no the account had been closed and the money sent in a cashiers check, then yesterday it was back to verifying the checks when Ive been told they were verified. The state controllers office told me theyd cerified them multiple times and didnt know what else Chase wanted. Now I was on the phone for over an hour yesterday only to be told Id have the money in a week. These are my paychecks so Ive had next to nothing to live on for a month. I cant get gas in my car, cant pay my bills, cant buy groceries, and couldnt go with my daughter to move her into her dorm at college. Its been almost 5 weeks and I just want my money. Ive never worked with a more incompetent company in my life and at this point aside from this and possible legal action I dont know what to even do.",3,2
"Two fraudulent charges made on my account on the same day. First was a with-drawl of {$7100.00} from a fraudulent check and another in the amount of {$2500.00} made using a fraudulent E-with-drawl. Wells Fargo reimbursed the first fraudulent transaction but closed the claim on the second stating that I gave permission to with-drawl. I am in the military and at the time of the transaction I was conducting a training rotation in XXXX XXXX, CA. No one else has access to my card, nor have I ever given anyone permission to with-drawl funds from my account. These transactions happening on the same day within hours of each other does not seem to be suspicious to the Wells Fargo Fraud Investigation team and need some help getting my money back.",3,3
"Hi this email is to provide proof of fraud on my chase account. XX/XX/2023 I noticed suspicious transactions on my account for the amount of {$0.00} for XXXX XXXX XXXX out of XXXX, XXXXthe one cent was withdrawn and then credited. I immediately locked my account and called Chase customer service. They agreed it was suspicious and canceled my debit card and issued a new one to be mailed out. Today XX/XX/XXXX, as I was driving home I received a call from XXXX from a supposed Chase representative who said my account had been compromised again and there was a XXXX transaction that was attempted in XXXX, Florida for the amount of {$1000.00} to a XXXX XXXX. He asked if tht was me tht was sending it and I said no. He proceeded to send me a text asking if the XXXX was authorized in which I responded no. He then told me my online banking account was completely compromised and I needed to change my username and password. He sent me two additional text messages to terminate my username and password which I unfortunately provided to him via text. He then proceeded to ask about my XXXX recipient XXXX XXXX XXXX who I stated was my boyfriend and he said his information was also compromised and he asked me to add him to phone call which I did immediately. After XXXX accepted the phone call the "" representative '' asked him some questions and told him his phone number was added to a XXXX account fraudulently with XXXX which he has no account with at all. Then he text him some verification codes to the phone number he has attached to his XXXX account and asked him to read them to him which he did. After he received the codes he told XXXX that he would enroll him and me in fraud protection so our future XXXX transactions wouldn't be compromised. XXXX was let go and him and I remained on the line to supposedly enroll me into the fraud protection program which consisted of me approving a XXXX transaction of {$2000.00} to XXXX where he explained tht no funds would be deducted from my account it was simply to make sure future XXXX transactions between XXXX and I would not be compromised. I unfortunately said yes to the text which ultimately approved the XXXX transaction to XXXX which he obviously never received. I'm attaching all the screenshots of my call log where he called me and I tried calling the number back and it is a XXXX XXXX  customer service phone number which leads me to believe tht this XXXX XXXX thats the name he gave me also with a badge number of XXXX. I'm also sending the text messages tht XXXX received as well. The phone number associated with my XXXX account is XXXX and the phone number associated with XXXX 's account is XXXX.",3,3
the dispute was filed so long ago i dont recall each transaction or amount of each transaction but the disputed amount is for {$3100.00} and was filed all the way back in 2021 and my claim is still yet to be resolved. i've submitted all documentaion thats been requested from me and have called countless times as to the status of my claim and each time all they say is we can file a complaint on the timeframe of the claim but that obviously isnt dong any good because wer 're going on 3 years with no resolution to the claim,3,2
"Today, XX/XX/XXXX approximately XX/XX/XXXX I received several calls from a Wells Fargo number XXXX. It's the same number on the back of my debit card. The imposter wanted me to verify several charges that morning with my debit card. I did not make any charges that morning. He stated two charges in XXXX, Florida, one at a XXXX for about {$240.00} and one at an XXXX store for about {$1000.00}. I said no. While I was on the phone he said our account was also being flagged for a XX/XX/XXXXtransfer for {$500.00} to someone named XXXX XXXX. I said no that was not me. In addition he said someone transferred {$1700.00} from my checking account to my savings account. I was very concerned because this showed they had access to my online banking. He asked if my husband might have made the transfer. I said no. He said he would have to close the account and give me a new account to transfer my funds into. He said it would take about 2 minutes and put me on hold. It all sounded very professional and I was looking at my account and it looked like there was a transfer made without my knowledge of {$1700.00} into my savings account. So I was glad I thought the fraud department caught it before it got out of hand. Then he came back on the phone and said he had to lock my phone? Asked what phone company I use and I told himXX/XX/XXXX. I was in a panic now so was going a long with it. Then he asked me to send my online pw : and then text it back to him with a space and "" cancel ''. I did this unfortunately. Then he sent me a "" new account '' and asked me to do a wire transfer of the balance. He said this is the quickest way to protect my funds. I was concerned and asked if I could verify that he was actually Wells Fargo. He gave me his name and employee number but I should have hung up and called back. I carried on and approved the wire transfer. He then said it would take about 24 hours but usually takes less than that. I hung up. 
Feeling uncomfortable I told my husband what happened. He soon started getting calls from "" Wells Fargo '' and they were trying to confirm with him some charges on his debit card. The person seemed to have access to our online banking and our last four digits of our debit card. He said the phone "" dropped '' or ended. So he decided to go in to a branch and they confirmed that it was all a hoax and the wire was still pending so they were able to cancel it. 
I'm just writing because the whole ordeal felt like someone from within Wells Fargo was commiting this fraud. They had all the language and ability to get in to our account information.",3,3
"I have disputed fraudulent charges made on my account on XX/XX/XXXX after I noticed the fraudulent charges that took place on XX/XX/XXXX. 

I told the Wells Fargo Claim representative VERY CLEARLY, that my phone and wallet were both stolen while I was out, my email was also hijacked hence why the email on the account has now been changed. My number was retrieved but my phone and wallet are still stolen. 

Wells Fargo denied my initial dispute claiming that these charges were not fraudulent and I in fact made the charges a few days later. 

I then went to the CFPB to receive my funds back. I received a letter from Wells Fargo stating "" Claim XXXX was filed when we were informed that multiple unauthorized transactions posted to your account. Our claims department reviewed this matter and found the transactions were performed by you or someone with your authorization. Consequently, your claim was closed on XX/XX/XXXX. 
We have reviewed your claim information and we agree with the decision previously communicated by our claims department. There were multiple successful logins to your Online Banking session during the timeframe of the disputed transactions were performed indicating you were aware of the transactions posting to your account. 
Additionally, some of the disputed transactions were verified via email. Based on the above information, we are unable to pay your claim. 
While we realize the information provided may not alleviate your frustrations, we hope this letter serves to clarify Wells Fargos action about this matter. '' As I stated initially to the Wells Fargo Claim department when disputing the transactions as fraud, MY PHONE and wallet were stolen. The person who stole these items most likely used my phone and was able to access my email and all my bank accounts from the mobile apps. 

The response I received from XXXX at Wells Fargo is inaccurate and Wells Fargo completely disregarded what I initially told them over the phone when disputing my transactions. 

This will be the last attempt I try to retrieve my stolen funds before hiring an attorney. Wells Fargo states that we as the customers are "" NOT LIABLE FOR FRAUDULENT TRANSACTIONS '' although it seems very clear that I am in fact liable for fraudulent transactions as Wells Fargo is insisting to make me liable for this entire claim.",3,3
"I applied for this CITI Card in 2008 and on the contractual document amended the language to show that after the initial 0 % for 12 months the 9.99 % interest rate would vary only with prime rate. This line was truck form the contract before sending in. By creating the account citi agreed to these terms. And for 10 years they maintained that. However, just recently they raised the interest rate to 25 % and didn't inform me. 

They used every sneaky trick in the book to get me to accept points, or 0 % but never did to maintain that 9.99 % interest rate. But it appears this company has gotten sneakier and less professional over the years. 

It's no wonder Americas Financial Future is in Jeopardy when you have thieves like CitiBank. 

I am a 16 year customer and have held this card since then. So disappointed in this company.",3,1
"I was informed by Bank of America on XX/XX/2023 that there was fraudulent activity on my account. There were two charges for {$1100.00} totaling {$2200.00} and a bunch of small charges adding up to XXXX totaling the amount to {$2300.00}. After dealing with the claims department I received temporary credits for one of the {$1100.00} charges and all the small ones ( {$52.00} ) totalling {$1100.00} on XX/XX/2023 which are now permanent. There was no reimbursement for the other {$1100.00}. I called Bank of America 's claims dept and asked why I didn't receive a credit for the 2nd {$1100.00} and they said that whoever handled the claim made a mistake and that they were going to file a new claim for the missing {$1100.00}. On XX/XX/2023 a temporary credit was put in my account for {$1100.00} and then on XX/XX/2023 the {$1100.00} was taken back out of my account. I called Bank of America to find out why and the agent I spoke with said that whoever handled previous claim on XX/XX/2023 made another mistake by making a new claim and the back office saw it as a duplicate and reversed the transaction. This agent said she was going to make a new claim with notes saying that its not a duplicate and I was temporarily reimbursed for the {$1100.00} again on XX/XX/2023. Then on XX/XX/2023 the credit was reversed again because the back office thought it was another duplicate. Since then I have spoken with a number of agents trying to find out what it happening. Everytime I speak to them they say whoever handled it before made a mistake and they are going to fix it. They claim that they are reopening the original claim which started on XX/XX/XXXX and XXXX have to wait another 45 days for an answer. I just spoke with them 18 days later and theres still no progress. I've been dealing with this since XX/XX/XXXX about 4.5 months. They've mishandled this claim and my money so many times I have no faith I will ever see this {$1100.00} again. No one at Bank of America has taken any responsibility for how poorly they have handled this claim and at the end of the day it's me who has to keep calling them to see whats happening. Usually to find out they messed up once again and all the can offer a "" sorry for your inconvenience "" apology. They need to be held accountable for mishandling this claim so many times.",3,3
I didnt authorize any of these inquiries : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX,3,2
"I deposited a somewhat large check, $ XXXX, in my Bank of America Savings account in person at a local branch. The deposit was made XX/XX/2023. I am now being told the funds will not be available to me until XX/XX/XXXX due to a BofA "" internal review '' process. The check is from a well-known mutual fund, XXXXXXXX XXXX and it's authenticity is easily verified. I do not think this is acceptable and I wonder if BofA is somehow benefitting from the use of my money "" on the float ''. The whole situation could have been avoided if i was able to do an ACH transfer from XXXX. However, i was unable to do that because i had to submit hardcopy paperwork to XXXX with a "" signature stamp '', something beyond a notarized signature that was not available at 3 different banks i checked in my area before giving up. I think this is XXXX 's way of making it difficult to withdraw money from their funds. In any case, the process of gaining access to my own money will have taken 6 weeks from the time i contacted XXXX...",3,2
Bank of America closed my account and reversed all my fraudulent claims. Did that and didnt tell me why or give me a chance to remove my funds. I have over {$500.00} that is owed to me and I need to contact XXXX to help assist with these claims.,3,2
"I call them servals times to update the address, and they keep charge me for late fees for something I'm not responsible for, I ask them to pay for the balance I did use.",3,1
"On or around XXXX XX/XX/XXXX I filed two ( 2 ) CFPB complaints against Wells Fargo because Wells Fargo XXXX has never corrected its records regarding misapplication of a payment that led an account to be charged-off in early XXXX : XXXX and XXXX. Unfortunately WF XXXX has closed these complaints out claiming they are "" duplicate '' complaints from a complaint they responded to in XXXX of XXXX : XXXX. A consumer will file additional complaints if the issue remains unresolved an account ( s ) /tradeline ( s ) continue to be reported without maximum possible accuracy. Wells Fargo 's closure of the complaints implies that it is both familiar with the issue presented in my complaints. That is, Wells Fargo is aware they are furnishing the CRAs inaccurate information that alleges the last payment for the account was made on or around XXXX XX/XX/XXXX, when a payment made on or around XXXX XX/XX/XXXX was misapplied causing the account to be charged-off. WF XXXX own records and notifications ( in attached docs ) clearly show the application of a XXXX dollar payment to the wrong account and the CO that resulted. Thus Wells Fargo knows or has reasonable cause to believe they information they continue to furnish to the CRAs is false/misleading/inaccurate. To try and resolve the matter WF XXXX paid off the account in XXXX or XXXX of XXXX to stop any future reporting. Nevertheless, WF XXXX failed to correct the payment history for the prior months. While XXXX removed the false/misleading payment history for the months preceding charge-off, XXXX has left the charge-off annotations and payment history that WF XXXX reported until it was XXXX XXXX XX/XX/XXXX or XX/XX/XXXX because WF XXXX continues to verify the account XXXX accurate as reported '' to XXXX. Thus, the remedies have been at best partial and the information that persists for this account/tradeline is false/misleading/inaccurate ( see Boggio v. USAA Fed. Sav. Bank, quoting Saunders v. Branch Bankin that is referenced in Twumasi-Ankrah v. Checkr , Inc. , 954 F.3d 938, 943 ( 6th Cir. XXXX ) ) and is patently unverifiable. By continuing to furnish the C/O narratives and C/O payment history to XXXX, or any CRA, Wells Fargo continues to engage in unfair practices under CFPA 1036 ( a ) ( 1 ) ( B ) / 12 U.S.C. 5536 ( A ) ( 1 ) ( B ) and unlawful practices under 12 CFR 1026.13 because the misapplication of payment was not reasonably avoidable by me. WF XXXX misapplication of payment on its own has caused me harm. The harm is compunded by the fact that WF XXXX then failed to apply a forbearance and/or deferment correctly leading their accounting system to mark payments as "" late '' during periods when WF XXXX  billing system failed to generate bills which itself is a serious violation of 12 CFR Part 1026 TILA ( Reg. Z ) Even under the Section E.1 of the XXXX WF XXXX was required to send those billing statements during periods of deferment/forbearance. At this point I have cause to sue Wells Fargo under 15 U.S. Code 1681s2 for damages to recover direct losses, indirect losses, and emotional damage that has resulted due to WF XXXX continued willful negligence. All I am asking is for Wells Fargo to cease furnishing and/or verifying the the CO payment history to any and all CRAs, and to cease furnishing and/or verifying any/and all derogatory narratives to any CRA WF XXXX has supplied information for this account/tradeline.",3,3
I was taken advantage of because I have a learning XXXX and a physical XXXX and now have to speak to this phone to write that someone has stolen and use my card to multiple place and I do not know who. Some people come to help me out sometimes to clean and to general help me out. I didnt never use this card and all of the charges are not mine this is the second time and Wells Fargo is discriminating against me because of my learning XXXX and XXXX by refuse to help me. Please just help me. Im tired of people taken advantage of me. I didnt never authorize nobody too. My authorize user didnt never not use no card because I didnt even give it to he.,3,3
"During the pandemic unfortunately I was robbed, and beaten until I was unconsciously. They stole my bag with all my belong such as Bank of America debit card, necklace, money and etc .... I filed a police report with XXXX XXXX case number ( XXXX. I found out they have also cleaned my account. They took all my money.",3,3
"I am writing to file a formal complaint regarding an unresolved fraudulent transaction dispute that Wells Fargo has failed to remedy for over 60 days now. 

On XXXX XXXX XXXX I discovered three unauthorized, fraudulent XXXX transactions were made from my Wells Fargo checking account ending in XXXX paid to XXXX XXXX XXXX XXXX XXXX name of XXXX XXXX XXXX The transactions totaled {$13000.00} plus fees and occurred between XXXX XXXX XXXX 

I immediately contacted Wells Fargo to report the transactions as fraudulent, as I did not initiate or authorize them. After filing a claim and providing the requested documentation, Wells Fargo reimbursed {$4000.00} of the stolen total. 

However, the largest single transaction for {$9800.00} remains under "" investigation '' with no resolution or return of my funds after over 60 days. I have made weekly calls and provided extensive proof, such as police reports and bank receipts, showing the recipient was an unknown third party. Yet Wells Fargo refuses to give a timeline or take any concrete action to reimburse this stolen {$9800.00}. All they continue to do is escalate my case to another party within the bank each time I call. 

As a loyal customer for over 25 years, I am incredibly disappointed with this lack of urgency, transparency, and reasonable resolution by Wells Fargo on a confirmed fraudulent transaction claim. {$9800.00} is a massive sum that I rightfully need to be returned to my account immediately. 

I request that Wells Fargo expedite the investigation and return my {$9800.00}.",3,3
"I have been a loyal XXXX XXXX XXXX XXXXXXXX for nearly 20 years. I called on XX/XX/23 to inquire about upgrading my current card as I had this card for over a decade with minimal rewards and credit line increases. The minimum payment due ( due date was XX/XX/23 ) was {$93.00}. I made a payment of {$700.00} and it was applied to my account. As of XX/XX/23, my credit limit was decreased from {$3500.00} to {$2900.00}. This happened to me over 6 years ago, my credit limit was {$4000.00} and decreased to {$3500.00}. I recently lost my father and I'm faced with financial burdens. I'm trying my best to catch up on my personal debt but decreased credit limits are a major set back as this effects the overall utilization rate, which is an importnant credit score factor.",3,2
